Region,Month of Period End,Median Sale Price,Homes Sold,New Listings,Inventory,Days on Market,Average Sale To List
,January 2016,$144K,26,26,133,115,95.2%
,February 2016,$150K,24,29,126,98,97.1%
,March 2016,$150K,35,41,126,91,96.7%
,April 2016,$146K,32,44,147,115,94.1%
,May 2016,$156K,38,40,144,99,96.0%
,June 2016,$162K,33,60,172,90,96.4%
,July 2016,$140K,35,37,158,62,97.1%
,August 2016,$156K,39,35,144,60,97.9%
,September 2016,$159K,38,42,144,88,95.8%
,October 2016,$147K,25,32,142,56,95.7%
,November 2016,$157K,34,20,121,87,98.2%
,December 2016,$170K,39,24,100,73,96.6%
,January 2017,$168K,19,37,111,100,98.9%
,February 2017,$160K,27,37,118,68,97.5%
,March 2017,$173K,35,41,116,57,100.9%
,April 2017,$161K,30,41,124,91,97.5%
,May 2017,$150K,43,57,130,56,97.4%
,June 2017,$174K,42,44,129,50,98.9%
,July 2017,$155K,51,40,127,53,97.2%
,August 2017,$174K,30,33,123,63,97.6%
,September 2017,$162K,27,27,116,65,97.1%
,October 2017,$159K,23,32,115,78,96.8%
,November 2017,$158K,27,45,133,40,97.1%
,December 2017,$158K,38,16,114,67,97.1%
,January 2018,$178K,16,41,121,75,97.8%
,February 2018,$219K,34,46,123,102,97.9%
,March 2018,$165K,49,56,109,50,97.2%
,April 2018,$160K,42,50,119,36,98.6%
,May 2018,$170K,47,46,108,46,98.0%
,June 2018,$175K,42,57,122,47,99.7%
,July 2018,$191K,36,64,135,61,98.8%
,August 2018,$170K,47,47,142,48,97.9%
,September 2018,$193K,36,49,141,71,98.3%
,October 2018,$175K,41,51,147,59,96.5%
,November 2018,$170K,37,38,134,50,96.8%
,December 2018,$157K,28,22,134,54,95.7%
,January 2019,$212K,22,50,149,71,97.3%
,February 2019,$168K,27,46,154,88,97.9%
,March 2019,$159K,47,50,164,69,98.5%
,April 2019,$188K,46,65,166,66,97.8%
,May 2019,$194K,45,53,163,45,98.0%
,June 2019,$190K,45,47,155,38,97.3%
,July 2019,$184K,31,72,168,51,97.6%
,August 2019,$165K,67,46,155,58,98.5%
,September 2019,$167K,41,39,145,51,97.5%
,October 2019,$210K,38,43,147,54,97.5%
,November 2019,$199K,33,34,140,61,99.1%
,December 2019,$178K,50,34,122,69,98.2%
,January 2020,$176K,21,50,120,69,96.1%
,February 2020,$210K,33,34,124,56,100.0%
,March 2020,$204K,52,58,126,81,98.5%
,April 2020,$202K,45,47,127,44,97.8%
,May 2020,$175K,36,30,111,50,99.0%
,June 2020,$217K,46,40,104,61,99.1%
,July 2020,$241K,43,49,98,56,98.6%
,August 2020,$220K,58,62,95,60,97.8%
,September 2020,$195K,43,53,98,47,98.8%
,October 2020,$192K,47,38,89,45,100.0%
,November 2020,$205K,47,75,102,52,97.9%
,December 2020,$218K,48,32,85,44,98.6%
,January 2021,$193K,37,39,88,47,98.4%
,February 2021,$208K,34,55,92,46,98.2%
,March 2021,$225K,45,56,85,33,100.8%
,April 2021,$206K,74,64,82,46,100.7%
,May 2021,$235K,47,68,93,39,101.6%
,June 2021,$255K,60,77,114,38,100.2%
,July 2021,$250K,55,87,130,38,101.7%
,August 2021,$250K,60,85,149,38,101.2%
,September 2021,$251K,65,51,134,39,99.9%
,October 2021,$270K,45,58,132,46,98.6%
,November 2021,$259K,53,56,120,46,100.0%
,December 2021,$276K,84,42,104,39,100.2%
,January 2022,$253K,48,74,117,34,101.7%
,February 2022,$265K,47,65,119,55,100.3%
,March 2022,$285K,65,80,121,40,100.2%
,April 2022,$271K,53,62,121,35,102.6%
,May 2022,$280K,77,84,137,35,101.4%
,June 2022,$284K,91,89,156,38,100.6%
,July 2022,$275K,61,65,173,37,100.0%
,August 2022,$270K,54,83,188,38,100.1%
,September 2022,$309K,70,68,163,65,99.4%
,October 2022,$290K,55,59,168,46,98.0%
,November 2022,$290K,53,41,161,61,98.5%
,December 2022,$302K,47,26,148,59,98.4%
,January 2023,$268K,26,52,151,59,96.4%
,February 2023,$295K,40,65,170,91,98.3%
,March 2023,$270K,58,70,151,61,99.1%
,April 2023,$290K,47,63,147,49,98.9%
,May 2023,$290K,63,45,129,51,98.8%
,June 2023,$294K,63,82,139,55,98.3%
,July 2023,$277K,43,58,126,36,97.9%
,August 2023,$290K,61,62,125,33,98.2%
,September 2023,$305K,40,48,120,39,99.6%
,October 2023,$296K,56,48,112,42,98.2%
,November 2023,$299K,38,39,110,39,98.7%
,December 2023,$313K,47,29,100,42,98.3%
,January 2024,$334K,33,44,100,92,97.4%
,February 2024,$282K,31,42,100,88,97.1%
,March 2024,$306K,36,48,107,37,97.4%
,April 2024,$292K,35,42,97,47,99.1%
,May 2024,$296K,58,45,101,41,99.5%
,June 2024,$301K,44,47,100,51,98.9%
,July 2024,$325K,35,41,104,41,99.3%
,August 2024,$332K,34,65,125,45,97.7%
,September 2024,$312K,32,40,122,42,98.5%
,October 2024,$283K,32,44,124,62,98.3%
,November 2024,$282K,32,38,119,47,96.2%
,December 2024,$306K,40,29,102,65,97.4%
,January 2025,$315K,26,43,103,55,98.5%
,February 2025,$328K,32,41,109,60,97.7%
"Ennis, TX",January 2012,$120K,6,12,72,141,96.7%
,February 2012,$127K,12,13,68,98,94.6%
,March 2012,$66K,9,13,61,50,102.2%
,April 2012,$93K,13,26,67,112,94.8%
,May 2012,$71K,5,21,79,60,95.5%
,June 2012,$103K,9,27,83,26,97.6%
,July 2012,$56K,10,15,83,59,93.8%
,August 2012,$107K,10,16,83,89,94.5%
,September 2012,$90K,8,15,89,48,93.5%
,October 2012,$93K,5,13,82,88,99.8%
,November 2012,$80K,5,16,73,94,93.0%
,December 2012,$73K,14,10,75,125,87.4%
,January 2013,$89K,12,18,69,180,97.2%
,February 2013,$114K,12,18,73,147,94.0%
,March 2013,$132K,8,18,78,110,98.2%
,April 2013,$80K,10,26,81,63,95.2%
,May 2013,$109K,12,18,86,55,98.4%
,June 2013,$132K,12,19,84,102,95.4%
,July 2013,$122K,7,14,75,80,98.3%
,August 2013,$74K,16,13,70,81,95.2%
,September 2013,$110K,9,17,72,90,94.0%
,October 2013,$63K,8,23,83,49,91.2%
,November 2013,$74K,10,15,78,68,87.6%
,December 2013,$88K,8,10,78,77,99.0%
,January 2014,$128K,10,14,76,131,97.6%
,February 2014,$97K,14,19,76,68,93.8%
,March 2014,$110K,16,15,68,98,95.8%
,April 2014,$85K,11,15,66,50,98.7%
,May 2014,$118K,8,18,66,267,97.9%
,June 2014,$117K,17,19,68,55,97.6%
,July 2014,$117K,11,31,85,54,98.4%
,August 2014,$120K,12,14,77,58,95.6%
,September 2014,$101K,14,21,79,63,94.1%
,October 2014,$98K,15,12,73,77,95.6%
,November 2014,$140K,11,11,67,62,96.4%
,December 2014,$105K,15,8,53,55,94.8%
,January 2015,$123K,6,12,47,102,95.3%
,February 2015,$77K,13,22,56,89,93.1%
,March 2015,$99K,17,14,49,39,95.4%
,April 2015,$120K,13,25,50,31,97.2%
,May 2015,$138K,19,23,49,52,95.6%
,June 2015,$92K,17,25,59,70,98.4%
,July 2015,$125K,17,26,55,52,92.4%
,August 2015,$137K,23,13,50,35,98.1%
,September 2015,$107K,10,21,52,45,95.6%
,October 2015,$130K,18,14,47,50,96.4%
,November 2015,$95K,13,13,43,70,89.7%
,December 2015,$147K,7,9,41,72,96.9%
,January 2016,$136K,6,17,46,94,96.8%
,February 2016,$135K,13,24,45,31,96.0%
,March 2016,$138K,17,18,46,55,98.5%
,April 2016,$128K,18,17,43,59,94.2%
,May 2016,$114K,7,14,40,25,93.0%
,June 2016,$132K,26,20,40,57,94.3%
,July 2016,$148K,8,20,42,48,96.3%
,August 2016,$155K,14,19,49,38,99.1%
,September 2016,$166K,8,19,49,32,100.8%
,October 2016,$139K,12,17,49,42,97.2%
,November 2016,$128K,18,11,42,48,95.4%
,December 2016,$126K,14,8,31,96,97.6%
,January 2017,$145K,10,10,29,45,99.5%
,February 2017,$82K,8,34,53,27,97.9%
,March 2017,$105K,14,19,45,81,92.6%
,April 2017,$155K,19,15,40,33,96.0%
,May 2017,$190K,13,19,47,43,99.4%
,June 2017,$147K,14,11,42,51,95.3%
,July 2017,$165K,13,17,43,44,98.2%
,August 2017,$200K,19,20,45,35,99.0%
,September 2017,$156K,11,21,44,35,96.3%
,October 2017,$160K,17,22,52,43,99.0%
,November 2017,$170K,15,9,45,19,98.5%
,December 2017,$175K,12,13,46,43,99.7%
,January 2018,$175K,5,11,45,109,94.3%
,February 2018,$195K,17,10,33,69,99.1%
,March 2018,$165K,13,23,40,72,95.9%
,April 2018,$179K,18,24,44,23,97.8%
,May 2018,$202K,15,31,53,73,99.5%
,June 2018,$183K,22,30,59,31,97.7%
,July 2018,$158K,18,19,58,34,99.5%
,August 2018,$195K,27,34,64,54,97.1%
,September 2018,$180K,15,25,66,90,97.5%
,October 2018,$199K,25,19,64,49,99.3%
,November 2018,$184K,14,12,60,31,98.6%
,December 2018,$197K,10,12,53,66,98.8%
,January 2019,$230K,11,25,57,51,102.0%
,February 2019,$188K,9,20,61,31,98.4%
,March 2019,$176K,19,18,60,63,97.9%
,April 2019,$199K,21,24,62,76,97.8%
,May 2019,$175K,14,24,61,89,97.6%
,June 2019,$181K,23,30,68,27,97.3%
,July 2019,$212K,27,19,50,56,97.2%
,August 2019,$224K,21,18,54,49,98.4%
,September 2019,$195K,21,20,51,48,98.8%
,October 2019,$210K,7,30,64,40,96.9%
,November 2019,$193K,23,26,65,68,98.2%
,December 2019,$205K,18,12,55,58,98.8%
,January 2020,$165K,17,17,57,45,98.1%
,February 2020,$208K,12,21,57,53,97.0%
,March 2020,$195K,17,17,57,68,96.2%
,April 2020,$195K,11,18,58,74,96.2%
,May 2020,$235K,18,21,49,66,96.0%
,June 2020,$225K,28,15,28,79,96.1%
,July 2020,$199K,26,21,33,61,96.2%
,August 2020,$198K,16,36,51,29,100.6%
,September 2020,$239K,14,21,45,49,100.1%
,October 2020,$195K,27,17,39,40,98.8%
,November 2020,$259K,15,19,32,38,97.9%
,December 2020,$204K,23,17,31,39,98.4%
,January 2021,$234K,21,15,21,44,97.9%
,February 2021,$198K,21,16,22,31,99.4%
,March 2021,$275K,22,23,25,38,96.9%
,April 2021,$208K,22,35,35,20,99.8%
,May 2021,$237K,26,23,32,17,100.4%
,June 2021,$225K,23,18,32,34,100.1%
,July 2021,$240K,13,21,38,16,103.4%
,August 2021,$235K,19,15,30,27,102.9%
,September 2021,$230K,13,29,44,27,98.2%
,October 2021,$240K,20,34,44,26,100.2%
,November 2021,$241K,20,23,43,22,99.8%
,December 2021,$250K,21,15,35,26,101.3%
,January 2022,$243K,17,18,30,30,98.8%
,February 2022,$262K,19,20,30,28,97.4%
,March 2022,$279K,24,23,28,21,100.2%
,April 2022,$275K,22,23,27,30,100.7%
,May 2022,$280K,19,38,39,31,101.4%
,June 2022,$258K,25,35,45,28,98.9%
,July 2022,$272K,26,47,59,25,99.5%
,August 2022,$295K,23,31,64,26,101.8%
,September 2022,$268K,23,31,75,41,97.4%
,October 2022,$268K,26,26,72,28,97.5%
,November 2022,$258K,18,23,69,53,98.3%
,December 2022,$263K,22,13,67,58,96.8%
,January 2023,$270K,9,30,72,69,94.1%
,February 2023,$237K,24,19,69,42,99.2%
,March 2023,$281K,22,27,57,73,96.8%
,April 2023,$270K,30,28,61,46,96.9%
,May 2023,$270K,19,28,66,32,99.0%
,June 2023,$262K,25,26,56,32,99.4%
,July 2023,$271K,16,40,73,31,98.7%
,August 2023,$275K,33,19,50,30,97.3%
,September 2023,$275K,18,29,54,57,99.7%
,October 2023,$236K,27,29,56,14,95.5%
,November 2023,$267K,18,23,52,22,99.2%
,December 2023,$283K,14,19,49,31,96.5%
,January 2024,$250K,9,33,64,45,99.1%
,February 2024,$261K,17,22,64,49,94.8%
,March 2024,$274K,28,29,58,46,98.1%
,April 2024,$269K,28,38,63,36,95.6%
,May 2024,$272K,28,36,68,28,98.1%
,June 2024,$269K,28,22,64,27,97.3%
,July 2024,$271K,20,36,74,33,98.7%
,August 2024,$274K,21,26,73,51,96.3%
,September 2024,$257K,22,25,79,43,98.2%
,October 2024,$283K,16,52,96,76,97.5%
,November 2024,$269K,21,33,101,42,98.2%
,December 2024,$256K,16,14,83,49,96.0%
,January 2025,$245K,21,31,88,68,95.6%
,February 2025,$274K,22,28,84,68,97.9%
"Erie, CO",January 2012,$300K,21,41,107,46,97.5%
,February 2012,$305K,27,47,122,81,97.9%
,March 2012,$265K,29,62,139,48,100.5%
,April 2012,$315K,39,66,151,65,98.0%
,May 2012,$293K,47,62,151,45,97.9%
,June 2012,$324K,71,55,139,55,98.8%
,July 2012,$335K,49,60,143,41,99.2%
,August 2012,$305K,43,56,156,49,97.4%
,September 2012,$315K,26,29,131,69,97.9%
,October 2012,$325K,39,32,124,89,99.1%
,November 2012,$307K,40,30,108,46,98.4%
,December 2012,$330K,36,27,95,60,98.4%
,January 2013,$330K,33,52,112,47,97.7%
,February 2013,$339K,25,56,124,49,97.9%
,March 2013,$332K,50,58,112,47,98.5%
,April 2013,$320K,45,87,130,26,99.7%
,May 2013,$322K,73,79,136,37,98.9%
,June 2013,$327K,81,73,133,28,99.9%
,July 2013,$345K,73,81,152,33,98.9%
,August 2013,$334K,52,65,149,44,98.7%
,September 2013,$335K,43,50,135,32,98.6%
,October 2013,$359K,48,52,132,29,99.0%
,November 2013,$325K,39,27,120,27,98.9%
,December 2013,$379K,42,25,94,48,99.1%
,January 2014,$367K,36,41,78,34,98.2%
,February 2014,$337K,31,45,80,30,98.2%
,March 2014,$371K,50,80,105,38,99.4%
,April 2014,$350K,55,74,99,12,99.7%
,May 2014,$360K,73,84,104,20,100.0%
,June 2014,$361K,64,87,118,17,100.0%
,July 2014,$370K,74,71,141,9,99.7%
,August 2014,$350K,47,50,128,15,100.0%
,September 2014,$365K,49,54,124,18,99.1%
,October 2014,$344K,40,61,132,40,99.7%
,November 2014,$366K,36,36,120,32,100.0%
,December 2014,$391K,48,28,100,60,99.2%
,January 2015,$369K,34,59,106,36,98.8%
,February 2015,$362K,39,55,97,19,99.2%
,March 2015,$401K,66,73,96,34,98.6%
,April 2015,$382K,71,78,114,29,99.9%
,May 2015,$390K,73,79,124,32,100.8%
,June 2015,$410K,67,65,118,32,100.6%
,July 2015,$390K,69,84,131,39,100.3%
,August 2015,$405K,68,58,129,34,100.2%
,September 2015,$385K,55,50,124,43,99.8%
,October 2015,$401K,54,76,148,35,99.6%
,November 2015,$417K,41,33,117,53,99.9%
,December 2015,$386K,51,24,91,51,98.9%
,January 2016,$378K,38,38,74,56,99.3%
,February 2016,$447K,34,49,90,39,100.8%
,March 2016,$455K,29,92,126,39,99.5%
,April 2016,$409K,60,80,113,32,100.1%
,May 2016,$439K,88,64,101,35,99.9%
,June 2016,$431K,72,79,103,34,100.6%
,July 2016,$455K,63,68,107,36,100.1%
,August 2016,$425K,68,56,102,29,99.6%
,September 2016,$428K,53,66,127,23,99.7%
,October 2016,$425K,43,46,121,40,99.2%
,November 2016,$437K,44,38,99,35,99.4%
,December 2016,$463K,38,29,89,29,99.0%
,January 2017,$415K,33,46,87,44,98.1%
,February 2017,$447K,39,77,116,39,99.6%
,March 2017,$466K,67,74,103,39,98.2%
,April 2017,$466K,54,82,107,16,99.7%
,May 2017,$465K,65,104,135,26,100.3%
,June 2017,$455K,78,77,139,21,99.3%
,July 2017,$473K,62,59,132,20,100.1%
,August 2017,$488K,63,70,145,17,99.9%
,September 2017,$494K,48,72,158,39,98.9%
,October 2017,$423K,64,59,129,37,99.0%
,November 2017,$491K,64,38,124,40,99.2%
,December 2017,$455K,57,31,102,47,99.0%
,January 2018,$460K,35,56,96,39,99.4%
,February 2018,$471K,44,51,96,18,99.9%
,March 2018,$483K,59,77,103,20,99.2%
,April 2018,$532K,54,78,113,26,99.5%
,May 2018,$518K,91,98,135,31,99.9%
,June 2018,$474K,69,69,141,18,99.3%
,July 2018,$514K,56,67,133,40,99.2%
,August 2018,$511K,64,72,136,30,98.8%
,September 2018,$502K,48,78,151,30,98.5%
,October 2018,$462K,53,75,160,25,98.1%
,November 2018,$498K,56,36,151,27,99.0%
,December 2018,$501K,45,21,120,61,98.2%
,January 2019,$547K,24,64,140,62,98.6%
,February 2019,$479K,38,65,133,68,98.7%
,March 2019,$508K,72,89,156,48,98.8%
,April 2019,$493K,54,93,164,22,99.1%
,May 2019,$529K,76,103,188,28,98.7%
,June 2019,$530K,82,82,172,35,99.1%
,July 2019,$520K,99,70,164,32,98.6%
,August 2019,$524K,67,55,145,55,99.3%
,September 2019,$510K,65,60,143,66,98.7%
,October 2019,$520K,55,82,148,52,99.0%
,November 2019,$528K,53,35,127,51,98.3%
,December 2019,$522K,63,42,116,41,99.6%
,January 2020,$515K,54,53,97,38,98.9%
,February 2020,$505K,47,53,90,29,99.1%
,March 2020,$530K,69,102,113,25,99.0%
,April 2020,$556K,69,70,124,20,99.7%
,May 2020,$578K,58,88,103,22,99.3%
,June 2020,$544K,100,103,91,17,99.4%
,July 2020,$555K,109,94,88,15,99.6%
,August 2020,$558K,88,81,83,13,99.6%
,September 2020,$585K,73,63,71,16,100.0%
,October 2020,$540K,80,64,65,21,99.9%
,November 2020,$550K,72,40,50,9,100.4%
,December 2020,$595K,57,25,34,19,101.6%
,January 2021,$603K,28,45,35,12,101.0%
,February 2021,$563K,36,47,39,7,102.7%
,March 2021,$684K,62,62,29,11,101.7%
,April 2021,$675K,64,77,47,6,103.4%
,May 2021,$645K,59,66,41,6,106.7%
,June 2021,$654K,96,95,46,6,105.1%
,July 2021,$640K,75,77,57,7,105.1%
,August 2021,$640K,57,66,63,9,102.6%
,September 2021,$629K,65,65,59,23,102.4%
,October 2021,$645K,53,55,49,17,102.1%
,November 2021,$660K,73,43,29,14,101.1%
,December 2021,$650K,41,37,23,12,102.5%
,January 2022,$668K,45,43,24,12,100.9%
,February 2022,$750K,39,54,36,11,102.1%
,March 2022,$765K,54,84,46,8,105.1%
,April 2022,$805K,73,127,79,7,107.0%
,May 2022,$833K,87,96,80,7,105.6%
,June 2022,$715K,86,108,127,12,102.2%
,July 2022,$720K,68,88,128,20,99.9%
,August 2022,$716K,77,70,125,25,99.7%
,September 2022,$651K,61,87,143,24,98.7%
,October 2022,$695K,50,49,129,34,98.3%
,November 2022,$678K,51,31,107,28,98.2%
,December 2022,$696K,39,40,107,26,97.2%
,January 2023,$655K,33,60,116,75,97.1%
,February 2023,$681K,42,61,113,32,97.9%
,March 2023,$700K,54,92,129,35,99.7%
,April 2023,$695K,55,89,142,36,99.3%
,May 2023,$712K,83,95,150,33,99.9%
,June 2023,$720K,72,86,165,40,99.0%
,July 2023,$725K,76,102,184,39,99.2%
,August 2023,$718K,67,94,188,32,99.0%
,September 2023,$741K,60,104,213,34,98.3%
,October 2023,$700K,71,70,194,48,99.1%
,November 2023,$675K,88,61,171,53,97.4%
,December 2023,$673K,80,59,129,48,97.8%
,January 2024,$678K,81,81,113,55,97.8%
,February 2024,$740K,86,81,133,27,98.0%
,March 2024,$694K,84,87,142,33,98.7%
,April 2024,$725K,74,129,175,36,99.2%
,May 2024,$775K,92,136,203,35,99.3%
,June 2024,$710K,80,95,216,27,99.7%
,July 2024,$720K,64,81,224,28,98.9%
,August 2024,$650K,63,89,232,42,98.3%
,September 2024,$778K,79,94,242,47,99.4%
,October 2024,$770K,63,74,232,66,98.8%
,November 2024,$774K,67,35,187,49,98.2%
,December 2024,$700K,75,62,176,62,98.3%
,January 2025,$750K,47,68,180,75,97.8%
,February 2025,$760K,52,80,194,50,98.7%
"Fairhope, AL",January 2012,$147K,14,37,136,122,91.6%
,February 2012,$190K,17,31,149,153,92.1%
,March 2012,$180K,25,39,158,125,94.2%
,April 2012,$225K,30,24,152,99,94.2%
,May 2012,$253K,44,22,130,132,95.4%
,June 2012,$185K,31,39,145,122,96.8%
,July 2012,$260K,30,35,150,122,95.4%
,August 2012,$265K,29,29,150,116,97.5%
,September 2012,$170K,43,30,137,93,96.2%
,October 2012,$276K,23,27,148,243,95.9%
,November 2012,$266K,28,33,156,154,96.8%
,December 2012,$193K,25,23,155,128,96.6%
,January 2013,$172K,21,42,172,170,96.4%
,February 2013,$214K,29,25,167,183,94.7%
,March 2013,$221K,42,55,182,128,96.8%
,April 2013,$262K,34,39,185,92,94.7%
,May 2013,$252K,51,32,173,89,96.0%
,June 2013,$252K,40,40,174,126,96.2%
,July 2013,$256K,43,39,169,125,97.6%
,August 2013,$209K,36,23,158,120,96.5%
,September 2013,$204K,36,25,151,142,95.8%
,October 2013,$207K,22,34,164,120,97.1%
,November 2013,$298K,26,17,157,169,95.2%
,December 2013,$195K,25,21,149,160,97.1%
,January 2014,$274K,22,29,153,103,94.8%
,February 2014,$170K,30,45,172,168,95.9%
,March 2014,$227K,41,48,179,116,96.2%
,April 2014,$210K,29,40,193,134,96.4%
,May 2014,$256K,30,55,214,120,97.2%
,June 2014,$240K,45,39,205,129,96.8%
,July 2014,$230K,47,42,202,120,95.5%
,August 2014,$270K,34,29,197,98,96.9%
,September 2014,$168K,33,31,195,135,96.5%
,October 2014,$218K,42,42,188,113,97.2%
,November 2014,$233K,42,32,183,143,97.7%
,December 2014,$236K,41,26,170,137,95.5%
,January 2015,$285K,27,48,191,108,95.4%
,February 2015,$225K,29,45,207,140,96.1%
,March 2015,$236K,40,78,236,135,96.1%
,April 2015,$267K,46,49,237,120,96.7%
,May 2015,$267K,54,42,228,128,97.6%
,June 2015,$286K,41,37,223,116,96.6%
,July 2015,$280K,57,47,214,123,96.5%
,August 2015,$244K,44,46,214,128,96.1%
,September 2015,$285K,42,53,227,91,97.3%
,October 2015,$237K,46,41,224,140,98.1%
,November 2015,$270K,32,47,239,139,96.6%
,December 2015,$286K,36,40,244,120,97.8%
,January 2016,$248K,33,50,246,153,96.7%
,February 2016,$230K,33,63,263,106,96.6%
,March 2016,$249K,47,81,272,105,97.6%
,April 2016,$297K,50,69,288,136,97.5%
,May 2016,$327K,48,58,295,135,99.2%
,June 2016,$290K,45,63,301,110,97.9%
,July 2016,$263K,53,58,294,132,98.6%
,August 2016,$289K,54,46,274,112,96.8%
,September 2016,$290K,42,54,271,166,97.6%
,October 2016,$247K,33,59,284,88,95.6%
,November 2016,$292K,35,45,273,133,97.6%
,December 2016,$295K,51,25,244,163,100.0%
,January 2017,$234K,34,74,261,155,97.1%
,February 2017,$305K,40,67,291,138,97.9%
,March 2017,$276K,64,68,295,152,97.8%
,April 2017,$309K,47,62,297,143,97.8%
,May 2017,$330K,72,75,299,115,96.7%
,June 2017,$310K,81,55,269,93,97.7%
,July 2017,$270K,51,53,260,98,97.7%
,August 2017,$289K,63,54,246,86,96.9%
,September 2017,$290K,45,53,248,134,99.0%
,October 2017,$279K,41,45,249,179,97.7%
,November 2017,$339K,52,55,253,121,97.9%
,December 2017,$324K,52,41,237,134,96.4%
,January 2018,$348K,22,49,254,197,98.1%
,February 2018,$323K,37,42,253,92,98.3%
,March 2018,$328K,50,87,283,134,95.8%
,April 2018,$301K,58,72,295,98,97.3%
,May 2018,$305K,50,70,313,123,97.8%
,June 2018,$322K,88,63,291,106,97.1%
,July 2018,$361K,41,60,303,134,97.3%
,August 2018,$339K,43,47,303,151,96.7%
,September 2018,$310K,49,50,293,121,96.3%
,October 2018,$336K,45,42,281,123,97.0%
,November 2018,$308K,42,53,274,108,97.3%
,December 2018,$308K,43,39,262,90,97.9%
,January 2019,$369K,36,51,263,163,97.3%
,February 2019,$343K,34,52,272,73,97.6%
,March 2019,$323K,44,63,279,122,96.7%
,April 2019,$390K,40,77,306,123,96.4%
,May 2019,$325K,64,90,320,81,97.0%
,June 2019,$360K,73,57,301,115,97.4%
,July 2019,$338K,58,68,309,103,97.8%
,August 2019,$360K,53,46,299,119,98.0%
,September 2019,$340K,55,44,275,120,97.6%
,October 2019,$390K,54,58,279,122,96.9%
,November 2019,$396K,47,29,246,141,97.4%
,December 2019,$377K,46,29,225,151,96.9%
,January 2020,$459K,45,60,241,122,95.9%
,February 2020,$359K,40,55,248,173,97.7%
,March 2020,$390K,54,65,260,142,97.3%
,April 2020,$383K,45,55,263,136,97.3%
,May 2020,$365K,54,83,288,87,97.6%
,June 2020,$344K,57,73,296,87,98.4%
,July 2020,$368K,86,59,271,80,98.0%
,August 2020,$358K,72,47,241,99,97.5%
,September 2020,$403K,43,43,233,104,97.3%
,October 2020,$356K,75,54,197,90,98.2%
,November 2020,$399K,57,42,188,80,98.5%
,December 2020,$370K,61,44,176,98,98.2%
,January 2021,$380K,43,49,178,75,98.9%
,February 2021,$412K,62,52,174,120,97.5%
,March 2021,$380K,66,59,176,61,98.9%
,April 2021,$370K,66,65,178,62,98.4%
,May 2021,$420K,64,60,173,63,99.3%
,June 2021,$398K,86,65,157,60,98.6%
,July 2021,$490K,78,65,153,56,99.8%
,August 2021,$426K,69,57,146,53,97.7%
,September 2021,$435K,60,64,152,51,97.9%
,October 2021,$456K,52,42,136,54,98.5%
,November 2021,$419K,55,39,94,63,98.1%
,December 2021,$463K,60,27,69,42,99.0%
,January 2022,$490K,37,31,57,29,99.3%
,February 2022,$405K,37,34,53,34,97.9%
,March 2022,$449K,55,60,49,8,99.5%
,April 2022,$460K,62,45,61,22,98.7%
,May 2022,$529K,56,66,75,11,100.3%
,June 2022,$525K,63,85,106,13,98.6%
,July 2022,$520K,56,45,104,12,97.8%
,August 2022,$550K,53,51,117,19,98.3%
,September 2022,$563K,34,41,115,17,98.5%
,October 2022,$451K,31,43,107,14,97.4%
,November 2022,$515K,39,30,111,66,96.5%
,December 2022,$490K,31,39,121,58,97.1%
,January 2023,$485K,21,32,108,36,99.6%
